PERMEN LHK. 3/0,UU. 5/1990,PP. 13/1994,PP. 18/1994,PP. 68/1998,UU. 41/1999,PP. 7/1999,PP. 8/1999,PP. 34/2002,PP. 35/2002,PP. 63/2002,UU. 19/2004,PP. 44/2004,PP. 45/2004,PERMEN LH. 10/2006,PERMEN LH. 11/2006,PERMEN LH. 12/2006,PERMEN LH. 14/2006,UU. 16/2006,PERMEN LH. 2/2006,PERMEN LH. 3/2006
Peraturan Pemerintah Republik Indonesia Nomor 36 Tahun 2010 tentang Pengusahaan Pariwisata Alam,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.37/Menhut-II/2010 tentang Tata Cara Penyusunan Rencana Pengelolaan Rehabilitasi Hutan dan Lahan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.38/Menhut-II/2010 tentang Tata Cara Penyusunan Rencana Tahunan Rehabilitasi Hutan dan Lahan,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.39/Menhut-II/2010 tentang Pola Umum, Kriteria, dan Standar Rehabilitasi dan Reklamasi Hutan",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.4/Menhut-II/2010 tentang Pengurusan Barang Bukti Tindak Pidana Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 04 Tahun 2010 tentang Baku Mutu Air Limbah Bagi Usaha dan/atau Kegiatan Industri Minyak Goreng,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.40/Menhut-II/2010 tentang Organisasi dan Tata Kerja Kementerian Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.41/Menhut-II/2010 tentang Pedoman Penyusunan Programa Penyuluhan Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.42/Menhut-II/2010 tentang Sistem Perencanaan Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.43/Menhut-II/2010 tentang Pencabutan Peraturan Menteri Kehutanan Nomor P.3/Menhut-II/2005 Jo. Peraturan Menteri Kehutanan Nomor P.5/Menhut-II/2006 tentang Pedoman Verifikasi Izin Usaha Pemanfaa,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.44/Menhut-II/2010 tentang Pedoman Tata Naskah Dinas Kementerian Kehutanan,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.45/Menhut-II/2010 tentang Petunjuk Teknis Pengadaan, Pendaftaran, Penetapan Status, Penghunian, Pengalihan Status dan Pengalihan Hak, Atas Rumah Negara Lingkup Kementerian Kehutanan",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.46/Menhut-II/2010 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.24/Menhut-II/2010 tentang Pedoman Penyelenggaraan Kebun Bibit Rakyat,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.47/Menhut-II/2010 tentang Panitia Tata Batas Kawasan Hutan,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.48/Menhut-II/2010 tentang Pengusahaan Pariwisata Alam di Suaka Margasatwa, Taman Nasional, Taman Hutan Raya dan Taman Wisata Alam",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.49/Menhut-II/2010 tentang Rencana Kerja (Renja) Kementerian Kehutanan Tahun 2011,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.5/Menhut-II/2010 tentang Standar Peralatan Polisi Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 05 Tahun 2010 tentang Baku Mutu Air Limbah Bagi Industri Gula,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.50/Menhut-II/2010 tentang Tata Cara Pemberian dan Perluasan Areal Kerja Izin Usaha Pemanfaatan Hasil Hutan Kayu (Iuphhk) Dalam Hutan Alam, Iuphhk Restorasi Ekosistem, Atau Iuphhk Hutan Tanaman",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.51/Menhut-II/2010 tentang Rencana Strategis (Renstra) Kementerian Kehutanan Tahun 2010-2014,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.6/Menhut-II/2010 tentang Norma, Standar, Prosedur dan Kriteria Pengelolaan Hutan Pada Kesatuan Pengelolaan Hutan Lindung (KPHL) dan Kesatuan Pengelolaan Hutan Produksi (KPHP)"
PERMEN LH. 6/2010,PERMENHUT. 7/2010,PERMEN LH. 7/2010,PP. 72/2010,PERMENHUT. 8/2010,PERMEN LH. 8/2010,PERMENHUT. 9/2010,PERMEN LH. 9/2010,PERMEN LH. 1/2011,PERMENHUT. 10/2011,PERMEN LH. 10/2011,PERMENHUT. 11/2011,PERMEN LH. 11/2011,PERMENHUT. 12/2011,PERMEN LH. 12/2011,PERMENHUT. 13/2011,PERMEN LH. 13/2011,PERMENHUT. 14/2011,PERMEN LH. 14/2011,PERMENHUT. 15/2011,PERMEN LH. 15/2011
Peraturan Menteri Negara Lingkungan Hidup Nomor 06 Tahun 2010 tentang Baku Mutu Air Limbah Bagi Industri Rokok dan/atau Cerutu,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.7/Menhut-II/2010 tentang Pelimpahan Sebagian Urusan Pemerintahan (Dekonsentrasi) Bidang Kehutanan Tahun 2010 Kepada 33 Gubernur Pemerintah Provinsi Selaku Wakil Pemerintah,Peraturan Menteri Negara Lingkungan Hidup Nomor 07 Tahun 2010 tentang Sertifikasi Kompetensi Penyusun Dokumen Analisis Mengenai Dampak Lingkungan Hidup dan Persyaratan Lembaga Pelatihan Kompetensi Penyusun Dokumen Analisis Mengenai Dampak Lingkungan,Peraturan Pemerintah Republik Indonesia Nomor 72 Tahun 2010 tentang Perum,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.8/Menhut-II/2010 tentang Rencana Strategis (Renstra) Kementerian Kehutanan Tahun 2010-2014,Peraturan Menteri Negara Lingkungan Hidup Nomor 08 Tahun 2010 tentang Kriteria dan Sertifikasi Bangunan Ramah Lingkungan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.9/Menhut-II/2010 tentang Izin Pembuatan dan Penggunaan Koridor,Peraturan Menteri Negara Lingkungan Hidup Nomor 09 Tahun 2010 tentang Tata Cara Pengaduan dan Penanganan Pengaduan Akibat Dugaan Pencemaran dan/atau Perusakan Lingkungan Hidup,Peraturan Menteri Negara Lingkungan Hidup Nomor 01 Tahun 2011 tentang Petunujuk Teknis Pemanfaatan Dana Alokasi Khusus Bidang Lingkungan Hidup Tahun 2011,Peraturan Menteri Kehutanan Nomor P.10/Menhut-II/2011 tentang 6 (Enam) Kebijakan Prioritas Bidang Kehutanan dalam Program Pembangunan Nasional Kabinet Indonesia Bersatu II,Peraturan Menteri Negara Lingkungan Hidup Nomor 10 Tahun 2011 tentang Perubahan atas Peraturan Menteri Negara Lingkungan Hidup Nomor 11 Tahun 2010 tentang Rencana Strategis Kementerian Lingkungan Hidup 2010-2014,Peraturan Menteri Kehutanan Nomor P.11/Menhut-II/2011 tentang Pedoman Kode Etik Pegawai Negeri Sipil Kementerian Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 11 Tahun 2011 tentang Petunjuk Teknis Penyelenggaraan Dekonsentrasi Bidang Lingkungan Hidup Tahun 2012,Peraturan Menteri Kehutanan Nomor P.12/Menhut-II/2011 tentang Pedoman Penyelenggaraan Rehabilitasi Hutan dan Lahan Tahun 2011,Peraturan Menteri Negara Lingkungan Hidup Nomor 12 Tahun 2011 tentang Tata Cara Penyusunan Peraturan Perundang-undangan di Kementerian Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.13/Menhut-II/2011 tentang Perubahan atas Keputusan Menteri Kehutanan Nomro 6188/KPTS-II/2002 tentang Organisasi dan Tata Kerja Balai Pemantapan Kawasan Hutan,Peraturan Menteri Negara Lingkungan Hidup Nomor 13 Tahun 2011 tentang Ganti Rugi Akibat Pencemaran dan/atyau Kerusakan Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.14/Menhut-II/2011 tentang Izin Pemanfaatan Kayu,Peraturan Menteri Negara Lingkungan Hidup Nomor 14 Tahun 2011 tentang Pedoman Perumusan Materi Pokok Perlindungan dan Pengelolaan Lingkungan Hidup dalam Peraturan Perundang-undangan,Peraturan Menteri Kehutanan Nomor P.15/Menhut-II/2011 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.69/Menhut-Ii/2006 tentang Penjadualan Kembali Pembayaran Pengembalian Pinjaman Dana Reboisasi Oleh Perusahaan Hutan Tanaman Industri (HTI,Peraturan Menteri Negara Lingkungan Hidup Nomor 15 Tahun 2011 tentang Pedoman Materi Muatan Rancangan Peraturan Daerah di Bidang Perlindungan dan Pengelolaan Llingkungan Hidup
PERMENHUT. 16/2011,PERMEN LH. 16/2011,PERMENHUT. 17/2011,PERMEN LH. 17/2011,PERMENHUT. 18/2011,PERMENHUT. 19/2011,PERMENHUT. 2/2011,PERMEN LH. 2/2011,PERMENHUT. 20/2011,PERMENHUT. 21/2011,PERMENHUT. 22/2011,PERMENHUT. 23/2011,PERMENHUT. 24/2011,PERMENHUT. 25/2011,PERMENHUT. 26/2011,PERMENHUT. 27/2011,PERMENHUT. 28/2011,PP. 28/2011,PERMENHUT. 29/2011,PERMENHUT. 3/2011,PERMEN LH. 3/2011
Peraturan Menteri Kehutanan Nomor P.16/Menhut-II/2011 tentang Pedoman Umum Program Nasional Pemberdayaan Masyarakat Mandiri Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 16 Tahun 2011 tentang Pedoman Materi Muatan Rancangan Peraturan daerah tentang Pengelolaan Sampah Rumah Tangga dan Sampah Sejenis Sampah Rumah Tangga,Peraturan Menteri Kehutanan Nomor P.17/Menhut-II/2011 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.33/Menhut-II/2010 tentang Tata Cara Pelepasan Kawasan Hutan Produksi Yang Dapat Dikonversi,Peraturan Menteri Negara Lingkungan Hidup Nomor 17 Tahun 2011 tentang Petunjuk Teknis Pemanfaatan Dana Alokasi Khusus Bidang Lingkungan Hidup Tahun Anggaran 2012,Peraturan Menteri Kehutanan Nomor P.18/Menhut-II/2011 tentang Pedoman Pinjam Pakai Kawasan Hutan,Peraturan Menteri Kehutanan Nomor P.19/Menhut-II/2011 tentang Penataan Batas Areal Kerja Izin Pemanfaatan Hutan,"Peraturan Menteri Kehutanan Nomor P.2/Menhut-II/2011 tentang Pedoman Formulasi, Implementasi, Evaluasi Kinerja dan Revisi Kebijakan Publik di Lingkungan Kementerian Kehutanan",Peraturan Menteri Negara Lingkungan Hidup Nomor 02 Tahun 2011 tentang Baku Mutu Air LImbah Bagi Usaha dan/atau Kegiatan Eksplorasi dan Eksploitasi Gas Metana Batubara,Peraturan Menteri Kehutanan Nomor P.20/Menhut-II/2011 tentang Pedoman Pemetaan Kawasan Hutan Tingkat Kabupaten/Kota,Peraturan Menteri Kehutanan Nomor P.21/Menhut-II/2011 tentang Organisasi dan Tata Kerja Sekretariat Dewan Pengurus Unit Nasional Korps Pegawai Negeri Republik Indonesia Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.22/Menhut-II/2011 tentang Pedoman Pelaksanaan dan Teknis Penggunaan Dana Dekonsentrasi Bidang Penyuluhan Kehutanan,Peraturan Menteri Kehutanan Nomor P.23/Menhut-II/2011 tentang Pedoman Teknis Kebun Bibit Rakyat,Peraturan Menteri Kehutanan Nomor P.24/Menhut-II/2011 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.56/Menhut-II/2009 tentang Rencana Kerja Usaha Pemanfaatan Hasil Hutan Kayu Hutan Alam dan Restorasi Ekosistem,Peraturan Menteri Kehutanan Nomor P.25/Menhut-II/2011 tentang edoman Umum Penilaian Lomba Penghijauan dan Konservasi Alam Wana Lestari,Peraturan Menteri Kehutanan Nomor P.26/Menhut-II/2011 tentang Organisasi dam Tata Kerja Balai Besar Penelitian Bioteknologi dan Pemuliaan Tanaman Hutan,Peraturan Menteri Kehutanan Nomor P.27/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Besar Penelitian Dipterokarpa,Peraturan Menteri Kehutanan Nomor P.28/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai penelitian Teknologi Agroforestry,Peraturan Pemerintah Nomor 28 Tahun 2011 tentang Pengelolaan Kawasan,Peraturan Menteri Kehutanan Nomor P.29/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Teknologi Perbenihan Tanaman Hutan,Peraturan Menteri Kehutanan Nomor P.3/Menhut-II/2011 tentang Petunjuk Teknis Penggunaan dan Alokasi Khusus (DAK) Bidang Kehutanan Tahun Anggaran 2011,Peraturan Menteri Negara Lingkungan Hidup Nomor 03 Tahun 2011 tentang Pemberian Beasiswa Program Pasca Sarjana
PERMENHUT. 30/2011,PERMENHUT. 31/2011,PERMENHUT. 32/2011,PERMENHUT. 33/2011,PERMENHUT. 34/2011,PERMENHUT. 35/2011,PERMENHUT. 36/2011,PERMENHUT. 37/2011,PERMENHUT. 38/2011,PERMENHUT. 39/2011,PERMENHUT. 4/2011,PERMEN LH. 4/2011,PERMENHUT. 40/2011,PERMENHUT. 41/2011,PERMENHUT. 42/2011,PERMENHUT. 43/2011,PERMENHUT. 44/2011,PERMENHUT. 45/2011,PERMENHUT. 46/2011,PERMENHUT. 47/2011,PERMENHUT. 48/2011
Peraturan Menteri Kehutanan Nomor P.30/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Teknologi Hasil Hutan Bukan Kayu,Peraturan Menteri Kehutanan Nomor P.31/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Teknologi Kehutanan Pengelolaan Daerah Aliran Sungai,Peraturan Menteri Kehutanan Nomor P.32/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Teknologi Konservasi Sumber Daya Alam,Peraturan Menteri Kehutanan Nomor P.33/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Teknologi Serat Tanaman Hutan,Peraturan Menteri Kehutanan Nomor P.34/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Kehutanan Manokwari,Peraturan Menteri Kehutanan Nomor P.35/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Kehutanan Banjarbaru,Peraturan Menteri Kehutanan Nomor P.36/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Kehutanan Palembang,Peraturan Menteri Kehutanan Nomor P.37/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Kehutanan Makassar,Peraturan Menteri Kehutanan Nomor P.38/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Kehutanan Kupang,Peraturan Menteri Kehutanan Nomor P.39/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Kehutanan Manado,Peraturan Menteri Kehutanan Nomor P.4/Menhut-II/2011 tentang Pedoman Reklamasi Hutan,Peraturan Menteri Negara Lingkungan Hidup Nomor 04 Tahun 2011 tentang Standar Kompetensi dan Sertifikasi Kompetensi Penanggungjawab Pengendalian Pencemaran Udara,Peraturan Menteri Kehutanan Nomor P.40/Menhut-II/2011 tentang Organisasi dan Tata Kerja Balai Penelitian Kehutanan Aek Nauli,Peraturan Menteri Kehutanan Nomor P.41/Menhut-II/2011 tentang Standar Fasilitasi Sarana dan Prasarana Kesatuan Pengelolaan Hutan Lindung Model dan Kesatuan Pengelolaan Hutan Produksi Model,Peraturan Menteri Kehutanan Nomor P.42/Menhut-II/2011 tentang Standar Kompetensi Bidang Teknis Kehutanan pada Kesatuan Pengelolaan Hutan Lindung dan Kesatuan Pengelolaan Hutan Produksi,Peraturan Menteri Kehutanan Nomor P.43/Menhut-II/2011 tentang Perubahan Kedua atas Peraturan Menteri Kehutanan Nomor P.4/Menhut-II/2009 tentang Penyelesaian Hak Pengusahaan Hutan Tanaman Industri Sementara,Peraturan Menteri Kehutanan Nomor P.44/Menhut-II/2011 tentang Perubahan Kedua atas Peraturan Menteri Kehutanan Nomor P.33/Menhut-II/2010 tentang Tata Cara Pelepasan Kawasan Hutan Produksi Yang Dapat Dikonversi,Peraturan Menteri Kehutanan Nomor P.41/Menhut-II/2011 tentang Pengukuran dan Pengujian Hasil Hutan,Peraturan Menteri Kehutanan Nomor P.46/Menhut-II/2011 tentang Petunjuk Pelaksanaan Administrasi Pengelolaan Hibah Luar Negeri pada Kementerian Kehutanan,"Peraturan Menteri Kehutanan Nomor P.47/Menhut-II/2011 tentang Penugasan (Medebewin) Sebagian Urusan Pemerintahan Bidang Kehutanan Tahun 2011 Kepada Bupati Berau, Bupati Malinau, dan Bupati Kapuas Hulu Dalam Rangka Demonstration Activities Redd",Peraturan Menteri Kehutanan Nomor P.48/Menhut-II/2011 tentang Pengenaan Sanksi terhadap Pelanggaran Kode Etik Pegawai Negeri Sipil Kementerian Kehutanan
PERMENHUT. 49/2011,PERMENHUT. 5/2011,PERMEN LH. 5/2011,PERMENHUT. 50/2011,PERMENHUT. 51/2011,PERMENHUT. 52/2011,PERMENHUT. 53/2011,PERMENHUT. 54/2011,PERMENHUT. 55/2011,PERMENHUT. 56/2011,PERMENHUT. 57/2011,PERMENHUT. 58/2011,PERMENHUT. 59/2011,PERMENHUT. 6/2011,PERMEN LH. 6/2011,PERMENHUT. 60/2011,PERMENHUT. 61/2011,PERMENHUT. 62/2011,PERMENHUT. 63/2011,PERMENHUT. 64/2011,PERMENHUT. 65/2011
Peraturan Menteri Kehutanan Nomor P.49/Menhut-II/2011 tentang Rencana Kehutanan Tingkat Nasional (RKTN) Tahun 2011-2030,Peraturan Menteri Kehutanan Nomor P.5/Menhut-II/2011 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.33/Menhut-II/2009 tentang Pedoman Inventarisasi Hutan Menyeluruh Berkala (IHMB) pada Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Produks,Peraturan Menteri Negara Lingkungan Hidup Nomor 05 Tahun 2011 tentang Program Penilaian Peringkat Kinerja Perusahaan dalam Pengelolaan Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.50/Menhut-II/2011 tentang Pengukuhan Kawasan Hutan,Peraturan Menteri Kehutanan Nomor P.51/Menhut-II/2011 tentang Pedoman Tata Kearsipan Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.52/Menhut-II/2011 tentang Perubahan Ketiga atas Peraturan Menteri Kehutanan Nomor P.37/Menhut-II/2007 tentang Hutan Kemasyarakatan,Peraturan Menteri Kehutanan Nomor P.52/Menhut-II/2011 tentang Perubahan Kedua atas Peraturan Menteri Kehutanan Nomor P.49/Menhut-II/2008 tentang Hutan Desa,Peraturan Menteri Kehutanan Nomor P.54/Menhut-II/2011 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.41/Menhut-II/2011 tentang Standar Fasilitasi Sarana dan Prasarana Kesatuan Pengelolaan Hutan Lindung Model dan Kesatuan Pengelolaan Hutan,Peraturan Menteri Kehutanan Nomor P.55/Menhut-II/2011 tentang Tata Cara Permohonan Izin Usaha Pemanfaatan Hasil Hutan Kayu pada Hutan Tanaman Rakyat dalam Hutan Tanaman,Peraturan Menteri Kehutanan Nomor P.56/Menhut-II/2011 tentang Sistem Akuntansi Pusat Pembiayaan Pembangunan Hutan,Peraturan Menteri Kehutanan Nomor P.57/Menhut-II/2011 tentang Rencana Kerja (RENJA) Kementerian kehutanan Tahun 2012,Peraturan Menteri Kehutanan Nomor P.58/Menhut-II/2011 tentang Strategi dan Rencana Aksi Konservasi Banteng (Bos Javanicus) Tahun 2010-2020,Peraturan Menteri Kehutanan Nomor P.59/Menhut-II/2011 tentang Hutan Tanaman Hasil Rehabilitasi,Peraturan Menteri Kehutanan Nomor P.6/Menhut-II/2011 tentang Penetapan Indikator Kinerja Utama Kementerian Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 06 Tahun 2011 tentang Pelayanan Informasi Publlik,Peraturan Menteri Kehutanan Nomor P.60/Menhut-II/2011 tentang Pedoman Penyusunan Rencana Pengaturan Kelestarian hutan dan Rencana Teknik Tahunan di Wilayah Perum Perhutani,Peraturan Menteri Kehutanan Nomor P.61/Menhut-II/2011 tentang Panduan Penanaman Satu Milyar Pohon Tahun 2011,Peraturan Menteri Kehutanan Nomor P.62/Menhut-II/2011 tentang Pedoman Pembangunan Hutan Tanaman Berbagai Jenis pada Izin Usaha Pemanfaatan Hasil Hutan Kayu pada Hutan Tanaman Industri (IUPHHK-HTI),Peraturan Menteri Kehutanan Nomor P.63/Menhut-II/2011 tentang Pedoman Penanaman Bagi Pemegang Izin Pinjam Pakai Kawasan Hutan dalam rangka rehabilitasi Daerah Aliran Sungai,Peraturan Menteri Kehutanan Nomor P.64/Menhut-II/2011 tentang Pencabutan Peraturan Menteri Kehutanan Nomor P.62/Menhut-II/2011 Tentang Pedoman Pembangunan Hutan Tanaman Berbagai Jenis Pada Izin Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Tanaman In,Peraturan Menteri Kehutanan Nomor P.65/Menhut-II/2011 tentang Pedoman Perencanaan dan Penganggaran Responsif Gender Bidang Kehutanan
PERMENHUT. 66/2011,PERMENHUT. 67/2011,PERMENHUT. 68/2011,PERMENHUT. 69/2011,PERMENHUT. 7/2011,PERMEN LH. 7/2011,PERMENHUT. 8/2011,PERMEN LH. 8/2011,PERMENHUT. 9/2011,PERMEN LH. 9/2011,PERMENHUT. 1/2012,PERMEN LH. 1/2012,PERMENHUT. 10/2012,PERMEN LH. 10/2012,PERMENHUT. 11/2012,PERMEN LH. 11/2012,PERMENHUT. 12/2012,PERMEN LH. 12/2012,PERMENHUT. 13/2012,PERMEN LH. 13/2012,PERMENHUT. 14/2012
Peraturan Menteri Kehutanan Nomor P.66/Menhut-II/2011 tentang Pedoman Umum Pengembangan Perhutanan Masyarakat Pedesaan Berbasis Konservasi,Peraturan Menteri Kehutanan Nomor P.67/Menhut-II/2011 tentang Pedoman Umum Penggunaan Belanja Bantuan Modal Kerja Dalam Rangka Pengembangan Desa Konservasi di Daerah Penyangga Kawasan Konservasi,Peraturan Menteri Kehutanan Nomor P.68/Menhut-II/2011 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.38/Menhut-II/2009 tentang Standar dan Pedoman Penilaian Kinerja Pengelolaan Hutan Produksi Lestari dan Verifikasi Legalitas Kayu Pada Pem,Peraturan Menteri Kehutanan Nomor P.69/Menhut-II/2011 tentang Petunjuk Teknis Penggunaan Dana Alokasi Khusus (DAK) Bidang Kehutanan Tahun Anggaran 2012,Peraturan Menteri Kehutanan Nomor P.7/Menhut-II/2011 tentang Pelayanan Informasi Publik di Lingkungan Kementerian Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 07 Tahun 2011 tentang Pedoman Pelaksanaan Program Adipura,Peraturan Menteri Kehutanan Nomor P.8/Menhut-II/2011 tentang Pedoman Penilaian Lomba Penanaman Satu Milyar Pohon Tahun 2010 Tingkat Nasional,Peraturan Menteri Negara Lingkungan Hidup Nomor 08 Tahun 2011 tentang Pedoman Tata Naskah Dinas Kementerian Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.9/Menhut-II/2011 tentang Pelimpahan Sebagian Urusan Pemerintahan (Dekonsentrasi) Bidang Kehutanan Tahun 2011 Kepada 33 Gubernur Pemerintah Provinsi Selaku Wakl Pemerintah,Peraturan Menteri Negara Lingkungan Hidup Nomor 09 Tahun 2011 tentang Pedoman Umum Kajian Lingkungan Hidup Strategis,Peraturan Menteri Kehutanan Nomor P.1/Menhut-II/2012 tentang Pedoman Penyusunan Rencana Kehutanan Tingkat Provinsi,Peraturan Menteri Negara Lingkungan Hidup Nomor 01 Tahun 2012 tentang Program Menuju Indonesia Hijau,Peraturan Menteri Kehutanan Nomor P.10/Menhut-II/2012 tentang Pedoman Perilaku Pegawai Negeri Sipil di Lingkungan Kementerian Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 10 Tahun 2012 tentang Baku Mutu Emisi Gas Buang Kendaraan Bermotor Tipe Baru kategori L3,Peraturan Menteri Kehutanan Nomor P.11/Menhut-II/2012 tentang Petunjuk Pelaksanaan Penyelesaian Ganti Kerugian Negara terhadap Bendahara di Lingkungan Kementerian Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 11 Tahun 2012 tentang Pedoman Penyidikan Tindak Pidana di Bidang Perlindungan dan Pengelolaan Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.12/Menhut-II/2012 tentang Perubahan Kedua Atas Peraturan Menteri Kehutanan Nomor P.32/Menhut-II/2009 tentang Tata Cara Penyusunan Rencana Teknik Rehabilitasi Hutan dan Lahan Daerah Aliran Sungai (Rtk RHL-DAS),Peraturan Menteri Negara Lingkungan Hidup Nomor 12 Tahun 2012 tentang Pedoman Penghitungan Beban Emisi Kegiatan Industri Minyak dan Gas Bumi,Peraturan Menteri Kehutanan Nomor P.13/Menhut-II/2012 tentang Pelayanan Informasi Perizinan di Bidang Kehutanan secara Online,"Peraturan Menteri Negara Lingkungan Hidup Nomor 13 Tahun 2012 tentang Pedoman Pelaksanaan Reduce, Reuse, dan Recycle melalui Bank Sampah",Peraturan Menteri Kehutanan Nomor P.14/Menhut-II/2012 tentang Pedoman Penyelenggaraan Rehabilitasi Hutan dan Lahan Tahun 2012
PERMEN LH. 14/2012,PERMENHUT. 15/2012,PERMEN LH. 15/2012,PERMENHUT. 16/2012,PERMEN LH. 16/2012,PERMENHUT. 17/2012,PERMEN LH. 17/2012,PERMENHUT. 18/2012,PERMEN LH. 18/2012,PERMENHUT. 19/2012,PERMEN LH. 19/2012,PERMENHUT. 2/2012,PERMEN LH. 2/2012,PERMENHUT. 20/2012,PERMEN LH. 20/2012,PERMENHUT. 21/2012,PERMEN LH. 21/2012,PERMENHUT. 22/2012,PERMEN LH. 22/2012,PERMENHUT. 23/2012,PERMEN LH. 23/2012
